Format Version,1.22,Take Name,Right_Ref_Refl,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-08-05 08.08.13.335 AM,Total Frames in Take,2090,Total Exported Frames,2090,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.044444,-0.018318,-0.080688,-0.169478,-0.982055,-0.254372,0.252515,2.662563,0.000000,-0.277128,0.245729,2.776272,0.884876,-0.269096,0.244621,2.670615,0.836509,-0.300447,0.254891,2.528469,0.900548,-0.170815,0.264819,2.674898,0.842590,-0.277128,0.245729,2.776272,-0.269096,0.244621,2.670615,-0.300447,0.254891,2.528469,-0.170815,0.264819,2.674898,-0.283106,0.236271,2.775150,-0.160598,0.261049,2.675241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.047222,-0.018212,-0.080296,-0.165236,-0.982811,-0.253864,0.252331,2.662746,0.000000,-0.276765,0.245831,2.776443,0.884876,-0.268662,0.244570,2.670793,0.836509,-0.299814,0.254996,2.528614,0.900548,-0.170215,0.263927,2.675136,0.842590,-0.276765,0.245831,2.776443,-0.268662,0.244570,2.670793,-0.299814,0.254996,2.528614,-0.170215,0.263927,2.675136,-0.283102,0.236373,2.775197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.050000,-0.018198,-0.079993,-0.170399,-0.981954,-0.254070,0.252704,2.662727,0.000000,-0.276976,0.245859,2.776402,0.884876,-0.268791,0.244782,2.670756,0.836509,-0.299959,0.255016,2.528567,0.900548,-0.170554,0.265160,2.675182,0.842590,-0.276976,0.245859,2.776402,-0.268791,0.244782,2.670756,-0.299959,0.255016,2.528567,-0.170554,0.265160,2.675182,-0.283090,0.236276,2.775194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.052778,-0.017794,-0.080684,-0.168971,-0.982152,-0.254344,0.252559,2.662494,0.000000,-0.277127,0.245921,2.776206,0.884876,-0.269077,0.244688,2.670552,0.836509,-0.300393,0.254829,2.528389,0.900548,-0.170778,0.264797,2.674830,0.842590,-0.277127,0.245921,2.776206,-0.269077,0.244688,2.670552,-0.300393,0.254829,2.528389,-0.170778,0.264797,2.674830,-0.283129,0.236422,2.775160,-0.160585,0.261206,2.675294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.055556,-0.015421,-0.079335,-0.170245,-0.982082,-0.254268,0.252269,2.662553,0.000000,-0.277429,0.246021,2.776211,0.884876,-0.269007,0.244388,2.670591,0.836509,-0.299854,0.253872,2.528280,0.900548,-0.170781,0.264797,2.675131,0.842590,-0.277429,0.246021,2.776211,-0.269007,0.244388,2.670591,-0.299854,0.253872,2.528280,-0.170781,0.264797,2.675131,-0.283100,0.236403,2.775171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.058333,-0.014919,-0.078723,-0.166291,-0.982816,-0.253665,0.252161,2.662728,0.000000,-0.277030,0.246260,2.776363,0.884876,-0.268477,0.244409,2.670757,0.836509,-0.299055,0.253934,2.528390,0.900548,-0.170099,0.264042,2.675402,0.842590,-0.277030,0.246260,2.776363,-0.268477,0.244409,2.670757,-0.299055,0.253934,2.528390,-0.170099,0.264042,2.675402,-0.283106,0.236194,2.775213,-0.160559,0.261316,2.675325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.061111,-0.017768,-0.079707,-0.169443,-0.982151,-0.254221,0.252699,2.662672,0.000000,-0.277219,0.246001,2.776337,0.884876,-0.268963,0.244812,2.670698,0.836509,-0.300011,0.254976,2.528478,0.900548,-0.170691,0.265008,2.675174,0.842590,-0.277219,0.246001,2.776337,-0.268963,0.244812,2.670698,-0.300011,0.254976,2.528478,-0.170691,0.265008,2.675174,-0.283137,0.236431,2.775149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.063889,-0.018187,-0.080817,-0.168813,-0.982161,-0.254538,0.252525,2.662519,0.000000,-0.277279,0.245816,2.776236,0.884876,-0.269271,0.244654,2.670577,0.836509,-0.300639,0.254907,2.528433,0.900548,-0.170963,0.264724,2.674830,0.842590,-0.277279,0.245816,2.776236,-0.269271,0.244654,2.670577,-0.300639,0.254907,2.528433,-0.170963,0.264724,2.674830,-0.283114,0.236538,2.775127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.066667,-0.018769,-0.080705,-0.170026,-0.981950,-0.254634,0.252601,2.662564,0.000000,-0.277362,0.245681,2.776271,0.884876,-0.269348,0.244684,2.670611,0.836509,-0.300736,0.255060,2.528481,0.900548,-0.171088,0.264980,2.674896,0.842590,-0.277362,0.245681,2.776271,-0.269348,0.244684,2.670611,-0.300736,0.255060,2.528481,-0.171088,0.264980,2.674896,-0.283183,0.236656,2.775134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.069444,-0.017851,-0.079856,-0.168994,-0.982215,-0.254103,0.252680,2.662735,0.000000,-0.277070,0.245998,2.776407,0.884876,-0.268850,0.244806,2.670765,0.836509,-0.299935,0.255004,2.528556,0.900548,-0.170557,0.264913,2.675211,0.842590,-0.277070,0.245998,2.776407,-0.268850,0.244806,2.670765,-0.299935,0.255004,2.528556,-0.170557,0.264913,2.675211,-0.283186,0.236567,2.775167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
