Format Version,1.22,Take Name,Kiryu's radar 3 turning,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 10.42.05.168 AM,Total Frames in Take,6671,Total Exported Frames,6671,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.044444,0.001045,0.193580,0.064871,-0.978937,-4.399346,0.953905,2.247201,0.000000,-4.263991,0.936735,2.181710,0.928362,-4.343746,0.939677,2.388459,0.927596,-4.252496,0.929243,2.303052,0.917862,-4.539173,0.981652,2.116722,0.900589,-4.597324,0.982217,2.246063,0.933631,-4.263991,0.936735,2.181710,-4.343746,0.939677,2.388459,-4.252496,0.929243,2.303052,-4.539173,0.981652,2.116722,-4.597324,0.982217,2.246063
17,0.047222,0.001243,0.193314,0.066125,-0.978905,-4.399416,0.953731,2.247175,0.000000,-4.264140,0.936227,2.181609,0.927504,-4.343778,0.939343,2.388401,0.927198,-4.252600,0.928690,2.302944,0.916652,-4.539242,0.981851,2.116774,0.903320,-4.597322,0.982546,2.246145,0.931640,-4.264140,0.936227,2.181609,-4.343778,0.939343,2.388401,-4.252600,0.928690,2.302944,-4.539242,0.981851,2.116774,-4.597322,0.982546,2.246145
18,0.050000,0.000296,0.193929,0.065796,-0.978807,-4.399501,0.953600,2.247130,0.000000,-4.264117,0.936339,2.181720,0.928278,-4.344040,0.939035,2.388408,0.922010,-4.252736,0.928613,2.303058,0.910933,-4.539176,0.981795,2.116584,0.899669,-4.597434,0.982219,2.245877,0.930277,-4.264117,0.936339,2.181720,-4.344040,0.939035,2.388408,-4.252736,0.928613,2.303058,-4.539176,0.981795,2.116584,-4.597434,0.982219,2.245877
19,0.052778,0.001326,0.193423,0.065012,-0.978958,-4.399325,0.953912,2.247242,0.000000,-4.263999,0.936659,2.181711,0.929737,-4.343680,0.939729,2.388487,0.928057,-4.252465,0.929220,2.303053,0.904257,-4.539187,0.981651,2.116799,0.889327,-4.597292,0.982299,2.246160,0.923352,-4.263999,0.936659,2.181711,-4.343680,0.939729,2.388487,-4.252465,0.929220,2.303053,-4.539187,0.981651,2.116799,-4.597292,0.982299,2.246160
20,0.055556,0.001136,0.193719,0.064926,-0.978906,-4.399363,0.953957,2.247197,0.000000,-4.263991,0.936756,2.181745,0.928689,-4.343803,0.939745,2.388472,0.937859,-4.252532,0.929283,2.303092,0.921846,-4.539150,0.981702,2.116675,0.907027,-4.597336,0.982298,2.246000,0.938657,-4.263991,0.936756,2.181745,-4.343803,0.939745,2.388472,-4.252532,0.929283,2.303092,-4.539150,0.981702,2.116675,-4.597336,0.982298,2.246000
21,0.058333,0.000349,0.194055,0.064904,-0.978841,-4.399513,0.953819,2.247146,0.000000,-4.264085,0.936762,2.181775,0.927458,-4.344060,0.939416,2.388444,0.932292,-4.252717,0.929112,2.303120,0.914488,-4.539207,0.981711,2.116556,0.896434,-4.597495,0.982095,2.245836,0.924681,-4.264085,0.936762,2.181775,-4.344060,0.939416,2.388444,-4.252717,0.929112,2.303120,-4.539207,0.981711,2.116556,-4.597495,0.982095,2.245836
22,0.061111,0.000542,0.193822,0.064960,-0.978884,-4.399470,0.953895,2.247194,0.000000,-4.264078,0.936792,2.181761,0.922704,-4.343949,0.939528,2.388468,0.927900,-4.252651,0.929180,2.303102,0.908245,-4.539225,0.981770,2.116664,0.879528,-4.597448,0.982206,2.245973,0.923056,-4.264078,0.936792,2.181761,-4.343949,0.939528,2.388468,-4.252651,0.929180,2.303102,-4.539225,0.981770,2.116664,-4.597448,0.982206,2.245973
23,0.063889,0.000717,0.193679,0.064942,-0.978913,-4.399424,0.953910,2.247241,0.000000,-4.264052,0.936782,2.181772,0.928845,-4.343859,0.939588,2.388503,0.926364,-4.252588,0.929209,2.303112,0.916818,-4.539218,0.981746,2.116746,0.902656,-4.597401,0.982226,2.246073,0.930016,-4.264053,0.936782,2.181772,-4.343859,0.939588,2.388503,-4.252588,0.929209,2.303112,-4.539218,0.981746,2.116746,-4.597401,0.982226,2.246073
24,0.066667,0.001484,0.193265,0.066397,-0.978896,-4.399432,0.953671,2.247122,0.000000,-4.264174,0.936058,2.181545,0.928706,-4.343785,0.939299,2.388346,0.921283,-4.252625,0.928557,2.302882,0.912470,-4.539256,0.981831,2.116728,0.899075,-4.597320,0.982609,2.246107,0.931048,-4.264174,0.936058,2.181545,-4.343785,0.939299,2.388346,-4.252625,0.928557,2.302882,-4.539256,0.981831,2.116728,-4.597320,0.982609,2.246107
25,0.069444,0.001482,0.193827,0.065803,-0.978825,-4.399596,0.953768,2.247155,0.000000,-4.264244,0.936292,2.181737,0.921118,-4.344091,0.939502,2.388447,0.921545,-4.252822,0.928840,2.303088,0.914337,-4.539305,0.981727,2.116596,0.882031,-4.597516,0.982477,2.245908,0.919850,-4.264244,0.936292,2.181737,-4.344091,0.939502,2.388447,-4.252822,0.928840,2.303088,-4.539305,0.981727,2.116596,-4.597516,0.982477,2.245908
