Format Version,1.22,Take Name,Kiryu's radar 3 turning,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 10.42.05.168 AM,Total Frames in Take,6671,Total Exported Frames,6671,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
3330,9.250000,-0.005481,-0.206188,-0.068341,0.976108,-2.294851,0.873216,-3.069702,0.000000,-2.158050,0.854269,-3.131601,0.901710,-2.242954,0.859788,-2.926965,0.878009,-2.149681,0.847781,-3.009945,0.915504,-2.431095,0.900997,-3.203911,0.948950,-2.492476,0.903246,-3.076090,0.778144,-2.158050,0.854269,-3.131601,-2.242954,0.859788,-2.926965,-2.149681,0.847781,-3.009945,-2.431095,0.900997,-3.203911,-2.492476,0.903246,-3.076090
3331,9.252778,-0.006338,-0.206065,-0.069825,0.976023,-2.294147,0.873064,-3.071556,0.000000,-2.157427,0.853606,-3.133476,0.901710,-2.242249,0.859615,-2.928820,0.878009,-2.149041,0.847217,-3.011816,0.915504,-2.430341,0.901149,-3.205752,0.948950,-2.491674,0.903732,-3.077914,0.778144,-2.157427,0.853606,-3.133476,-2.242249,0.859615,-2.928820,-2.149041,0.847217,-3.011816,-2.430341,0.901149,-3.205752,-2.491674,0.903732,-3.077914
3332,9.255556,-0.004644,-0.206155,-0.069362,0.976047,-2.293397,0.872874,-3.073407,0.000000,-2.156621,0.853829,-3.135333,0.873119,-2.241534,0.859066,-2.930694,0.845145,-2.148273,0.847076,-3.013690,0.885471,-2.429583,0.901157,-3.207570,0.939886,-2.490971,0.903244,-3.079750,0.771783,-2.156621,0.853829,-3.135333,-2.241534,0.859066,-2.930694,-2.148273,0.847076,-3.013690,-2.429583,0.901157,-3.207570,-2.490971,0.903244,-3.079750
3333,9.258333,-0.005753,-0.206501,-0.068509,0.976028,-2.292889,0.872943,-3.075389,0.000000,-2.156058,0.853904,-3.137195,0.870625,-2.241085,0.859564,-2.932614,0.886781,-2.147766,0.847473,-3.015531,0.886628,-2.429039,0.900717,-3.209695,0.943831,-2.490496,0.903058,-3.081913,0.772916,-2.156058,0.853904,-3.137195,-2.241085,0.859564,-2.932614,-2.147766,0.847473,-3.015531,-2.429039,0.900717,-3.209695,-2.490496,0.903058,-3.081913
3334,9.261111,-0.977746,0.092134,-0.188475,0.000712,-2.292084,0.872990,-3.077110,0.000000,-2.240780,0.859703,-2.935348,0.859795,-2.154175,0.853866,-3.139260,0.844163,-2.148076,0.848852,-3.014091,0.891179,-2.483186,0.901334,-3.081882,0.918104,-2.434204,0.901193,-3.214966,0.747901,-2.240780,0.859703,-2.935348,-2.154175,0.853866,-3.139260,-2.148076,0.848852,-3.014091,-2.483186,0.901334,-3.081882,-2.434204,0.901193,-3.214966
3335,9.263889,-0.006089,-0.205844,-0.069155,0.976119,-2.291163,0.873302,-3.078821,0.000000,-2.154444,0.854053,-3.140807,0.825971,-2.239184,0.859892,-2.936113,0.856120,-2.145995,0.847647,-3.019153,0.852476,-2.427457,0.901226,-3.212950,0.903863,-2.488737,0.903690,-3.085085,0.710489,-2.154444,0.854053,-3.140807,-2.239184,0.859892,-2.936113,-2.145995,0.847647,-3.019153,-2.427457,0.901226,-3.212950,-2.488737,0.903690,-3.085085
3336,9.266667,-0.006197,-0.206770,-0.067023,0.976072,-2.290662,0.873812,-3.080636,0.000000,-2.153753,0.855053,-3.142354,0.838589,-2.238883,0.860791,-2.937818,0.865020,-2.145496,0.848829,-3.020677,0.847192,-2.426829,0.901011,-3.215042,0.917119,-2.488347,0.903378,-3.087289,0.722262,-2.153753,0.855053,-3.142354,-2.238883,0.860791,-2.937818,-2.145496,0.848829,-3.020677,-2.426829,0.901011,-3.215042,-2.488347,0.903378,-3.087289
3337,9.269444,-0.005987,-0.206154,-0.067748,0.976153,-2.289915,0.873866,-3.082597,0.000000,-2.153105,0.854974,-3.144495,0.884639,-2.237982,0.860663,-2.939852,0.884216,-2.144710,0.848643,-3.022832,0.881687,-2.426207,0.901352,-3.216818,0.970273,-2.487569,0.903699,-3.088990,0.740601,-2.153105,0.854974,-3.144495,-2.237982,0.860663,-2.939852,-2.144710,0.848643,-3.022832,-2.426207,0.901352,-3.216818,-2.487569,0.903699,-3.088990
3338,9.272222,-0.007260,-0.205472,-0.069194,0.976187,-2.289135,0.873445,-3.084472,0.000000,-2.152482,0.853984,-3.146540,0.870812,-2.237032,0.860324,-2.941782,0.877194,-2.143926,0.847842,-3.024879,0.875508,-2.425535,0.901147,-3.218538,0.961154,-2.486697,0.903930,-3.090623,0.750206,-2.152482,0.853984,-3.146540,-2.237032,0.860324,-2.941782,-2.143926,0.847842,-3.024879,-2.425535,0.901147,-3.218538,-2.486697,0.903930,-3.090623
3339,9.275000,-0.004710,-0.206379,-0.067296,0.976144,-2.288584,0.873596,-3.086025,0.000000,-2.151710,0.855038,-3.147881,0.885554,-2.236719,0.860141,-2.943278,0.871684,-2.143380,0.848442,-3.026228,0.878290,-2.424833,0.901196,-3.220266,0.954210,-2.486276,0.903165,-3.092470,0.737438,-2.151710,0.855038,-3.147881,-2.236719,0.860141,-2.943278,-2.143380,0.848442,-3.026228,-2.424833,0.901196,-3.220266,-2.486276,0.903165,-3.092470
3340,9.277778,-0.002871,-0.206638,-0.067133,0.976107,-2.287941,0.873568,-3.087865,0.000000,-2.151000,0.855372,-3.149681,0.883529,-2.236171,0.859670,-2.945127,0.859476,-2.142756,0.848361,-3.028045,0.880621,-2.424117,0.901488,-3.222114,0.926379,-2.485660,0.902946,-3.094360,0.701791,-2.151000,0.855372,-3.149680,-2.236171,0.859670,-2.945127,-2.142756,0.848361,-3.028045,-2.424117,0.901488,-3.222114,-2.485660,0.902946,-3.094360
3341,9.280556,-0.001623,-0.206938,-0.067046,0.976053,-2.287374,0.873682,-3.089777,0.000000,-2.150373,0.855726,-3.151528,0.866149,-2.235706,0.859483,-2.947031,0.872021,-2.142219,0.848432,-3.029903,0.870368,-2.423465,0.901828,-3.224065,0.957187,-2.485108,0.902942,-3.096355,0.735126,-2.150373,0.855726,-3.151528,-2.235706,0.859483,-2.947031,-2.142219,0.848432,-3.029903,-2.423465,0.901828,-3.224065,-2.485108,0.902942,-3.096355
3342,9.283333,0.977596,-0.093013,0.188808,0.002324,-2.286614,0.873665,-3.091589,0.000000,-2.235368,0.861034,-2.949746,0.792912,-2.148752,0.853791,-3.153609,0.859430,-2.142685,0.849469,-3.028412,0.865796,-2.477633,0.902534,-3.096551,0.913189,-2.428633,0.901497,-3.229625,0.728883,-2.235368,0.861034,-2.949746,-2.148752,0.853791,-3.153609,-2.142685,0.849469,-3.028412,-2.477633,0.902534,-3.096551,-2.428633,0.901497,-3.229625
3343,9.286111,-0.002838,-0.206391,-0.067607,0.976127,-2.285696,0.873581,-3.093280,0.000000,-2.148801,0.855280,-3.155167,0.821508,-2.233869,0.859595,-2.950571,0.811514,-2.140505,0.848224,-3.033537,0.844252,-2.421911,0.901666,-3.227455,0.916309,-2.483391,0.903142,-3.099670,0.690400,-2.148801,0.855280,-3.155167,-2.233869,0.859595,-2.950571,-2.140505,0.848224,-3.033537,-2.421911,0.901666,-3.227455,-2.483391,0.903142,-3.099670
3344,9.288889,-0.001888,-0.206041,-0.066981,0.976246,-2.284877,0.873119,-3.095168,0.000000,-2.147990,0.855142,-3.157168,0.873244,-2.232941,0.858983,-2.952514,0.814704,-2.139609,0.847901,-3.035556,0.873335,-2.421219,0.901202,-3.229214,0.913905,-2.482624,0.902369,-3.101390,0.688832,-2.147990,0.855142,-3.157168,-2.232941,0.858983,-2.952514,-2.139609,0.847901,-3.035556,-2.421219,0.901202,-3.229214,-2.482624,0.902369,-3.101390
3345,9.291667,-0.003346,-0.205786,-0.065179,0.976418,-2.284245,0.873484,-3.096866,0.000000,-2.147353,0.855689,-3.158907,0.816336,-2.232159,0.860007,-2.954202,0.874294,-2.138858,0.848904,-3.037277,0.871873,-2.420772,0.900690,-3.230905,0.926396,-2.482081,0.902130,-3.103038,0.733776,-2.147353,0.855689,-3.158907,-2.232159,0.860007,-2.954202,-2.138858,0.848904,-3.037277,-2.420772,0.900690,-3.230905,-2.482081,0.902130,-3.103038
3346,9.294444,-0.003408,-0.206561,-0.067093,0.976125,-2.283419,0.873438,-3.098601,0.000000,-2.146494,0.855158,-3.160428,0.803235,-2.231618,0.859684,-2.955860,0.870433,-2.138224,0.848274,-3.038788,0.866922,-2.419622,0.901237,-3.232848,0.936015,-2.481135,0.902838,-3.105081,0.740848,-2.146494,0.855158,-3.160428,-2.231618,0.859684,-2.955860,-2.138224,0.848274,-3.038788,-2.419622,0.901237,-3.232848,-2.481135,0.902838,-3.105081
3347,9.297222,-0.004249,-0.205888,-0.067108,0.976263,-2.282814,0.873219,-3.100476,0.000000,-2.145988,0.854793,-3.162478,0.859902,-2.230807,0.859666,-2.957791,0.869180,-2.137540,0.848094,-3.040839,0.883132,-2.419206,0.900860,-3.234563,0.947328,-2.480529,0.902681,-3.106708,0.768204,-2.145988,0.854793,-3.162478,-2.230807,0.859666,-2.957791,-2.137540,0.848094,-3.040839,-2.419206,0.900860,-3.234563,-2.480529,0.902681,-3.106708
3348,9.300000,-0.003353,-0.205791,-0.068256,0.976207,-2.282161,0.872579,-3.102121,0.000000,-2.145372,0.854035,-3.164169,0.881040,-2.230174,0.858609,-2.959468,0.858631,-2.136932,0.847047,-3.042546,0.894897,-2.418504,0.900775,-3.236141,0.951676,-2.479820,0.902426,-3.108280,0.739295,-2.145371,0.854035,-3.164169,-2.230174,0.858609,-2.959468,-2.136932,0.847047,-3.042546,-2.418505,0.900775,-3.236141,-2.479820,0.902426,-3.108280
3349,9.302778,-0.003865,-0.206210,-0.067385,0.976177,-2.281435,0.873125,-3.104149,0.000000,-2.144572,0.854697,-3.166068,0.824843,-2.229536,0.859435,-2.961437,0.847530,-2.136214,0.847894,-3.044429,0.873914,-2.417720,0.900930,-3.238311,0.927309,-2.479134,0.902670,-3.110499,0.724354,-2.144572,0.854697,-3.166068,-2.229536,0.859435,-2.961437,-2.136214,0.847894,-3.044429,-2.417720,0.900930,-3.238311,-2.479134,0.902670,-3.110499
3350,9.305556,-0.005365,-0.206222,-0.068711,0.976075,-2.280528,0.872799,-3.105816,0.000000,-2.143733,0.853783,-3.167708,0.846803,-2.228654,0.859282,-2.963079,0.852993,-2.135381,0.847243,-3.046054,0.875645,-2.416740,0.900723,-3.240028,0.910833,-2.478132,0.902965,-3.112212,0.744581,-2.143733,0.853783,-3.167708,-2.228654,0.859282,-2.963079,-2.135381,0.847243,-3.046054,-2.416740,0.900723,-3.240028,-2.478132,0.902965,-3.112212
3351,9.308333,-0.977819,0.092078,-0.188121,0.001620,-2.279934,0.873540,-3.107495,0.000000,-2.228545,0.860020,-2.965786,0.908048,-2.142050,0.854593,-3.169756,0.849299,-2.135879,0.849354,-3.044600,0.886616,-2.471052,0.901804,-3.112110,0.931046,-2.422143,0.901927,-3.245222,0.740934,-2.228545,0.860020,-2.965786,-2.142050,0.854593,-3.169756,-2.135879,0.849354,-3.044600,-2.471051,0.901804,-3.112110,-2.422143,0.901927,-3.245222
3352,9.311111,0.001645,0.205847,0.066689,-0.976308,-2.279268,0.873264,-3.109408,0.000000,-2.142393,0.855403,-3.171466,0.847654,-2.227270,0.859108,-2.966778,0.854418,-2.133961,0.848121,-3.049859,0.870274,-2.415680,0.901305,-3.243392,0.919001,-2.477037,0.902381,-3.115545,0.712803,-2.142393,0.855403,-3.171466,-2.227270,0.859108,-2.966778,-2.133961,0.848121,-3.049859,-2.415680,0.901305,-3.243392,-2.477037,0.902381,-3.115545
3353,9.313889,0.003614,0.206078,0.066281,-0.976281,-2.278492,0.873721,-3.111253,0.000000,-2.141605,0.855607,-3.173210,0.845317,-2.226522,0.860141,-2.968556,0.841805,-2.133197,0.848817,-3.051574,0.828592,-2.414877,0.901223,-3.245376,0.943460,-2.476259,0.902817,-3.117547,0.729238,-2.141605,0.855607,-3.173210,-2.226522,0.860141,-2.968556,-2.133197,0.848817,-3.051574,-2.414877,0.901223,-3.245376,-2.476259,0.902817,-3.117547
3354,9.316667,0.003903,0.205970,0.067217,-0.976239,-2.277690,0.873517,-3.113065,0.000000,-2.140852,0.855125,-3.175051,0.860629,-2.225715,0.859859,-2.970379,0.847764,-2.132431,0.848338,-3.053415,0.825364,-2.414051,0.901263,-3.247163,0.896578,-2.475401,0.902998,-3.119320,0.682524,-2.140852,0.855125,-3.175051,-2.225715,0.859859,-2.970379,-2.132431,0.848338,-3.053415,-2.414051,0.901263,-3.247163,-2.475401,0.902998,-3.119320
3355,9.319444,0.004700,0.205889,0.068236,-0.976182,-2.276922,0.872788,-3.114757,0.000000,-2.140142,0.854009,-3.176754,0.872815,-2.224945,0.859171,-2.972067,0.844922,-2.131708,0.847340,-3.055112,0.883440,-2.413249,0.900701,-3.248854,0.939548,-2.474566,0.902722,-3.120999,0.740700,-2.140142,0.854009,-3.176754,-2.224945,0.859171,-2.972067,-2.131708,0.847340,-3.055112,-2.413249,0.900701,-3.248854,-2.474566,0.902722,-3.120999
3356,9.322222,0.002962,0.206155,0.068389,-0.976122,-2.276333,0.872867,-3.116645,0.000000,-2.139497,0.854356,-3.178598,0.812942,-2.224462,0.858783,-2.973962,0.845066,-2.131155,0.847274,-3.056974,0.879071,-2.412567,0.901182,-3.250753,0.892412,-2.473984,0.902741,-3.122939,0.752532,-2.139497,0.854356,-3.178598,-2.224462,0.858783,-2.973962,-2.131155,0.847274,-3.056974,-2.412567,0.901182,-3.250753,-2.473984,0.902741,-3.122939
3357,9.325000,0.005224,0.205932,0.067013,-0.976255,-2.275653,0.873533,-3.118376,0.000000,-2.138834,0.854957,-3.180348,0.827032,-2.223643,0.860247,-2.975667,0.839408,-2.130382,0.848492,-3.058697,0.863997,-2.412045,0.900942,-3.252512,0.894497,-2.473362,0.903026,-3.124658,0.730092,-2.138834,0.854957,-3.180348,-2.223643,0.860247,-2.975667,-2.130382,0.848492,-3.058697,-2.412045,0.900942,-3.252512,-2.473362,0.903026,-3.124658
3358,9.327778,0.006062,0.205419,0.067263,-0.976341,-2.274857,0.873172,-3.120287,0.000000,-2.138125,0.854393,-3.182389,0.843576,-2.222694,0.860052,-2.977618,0.848918,-2.129538,0.848099,-3.060738,0.899849,-2.411380,0.900498,-3.254306,0.918797,-2.472549,0.902819,-3.126385,0.725557,-2.138125,0.854393,-3.182389,-2.222694,0.860052,-2.977618,-2.129538,0.848099,-3.060738,-2.411380,0.900498,-3.254306,-2.472549,0.902819,-3.126385
3359,9.330556,0.003537,0.205626,0.067456,-0.976297,-2.274071,0.872706,-3.121906,0.000000,-2.137278,0.854326,-3.183995,0.892459,-2.222008,0.858910,-2.979264,0.875972,-2.128781,0.847432,-3.062371,0.876240,-2.410509,0.900610,-3.255892,0.975038,-2.471777,0.902254,-3.128007,0.759391,-2.137278,0.854326,-3.183995,-2.222008,0.858910,-2.979264,-2.128781,0.847432,-3.062371,-2.410509,0.900610,-3.255892,-2.471777,0.902254,-3.128007
3360,9.333333,0.002422,0.205952,0.068001,-0.976193,-2.273456,0.872482,-3.123719,0.000000,-2.136623,0.854163,-3.185738,0.875516,-2.221520,0.858317,-2.981067,0.871505,-2.128231,0.846977,-3.064123,0.868526,-2.409765,0.900786,-3.257753,0.954422,-2.471138,0.902166,-3.129916,0.750662,-2.136623,0.854163,-3.185738,-2.221520,0.858317,-2.981067,-2.128231,0.846977,-3.064123,-2.409765,0.900786,-3.257753,-2.471138,0.902166,-3.129916
3361,9.336111,-0.977924,0.090453,-0.188353,0.002321,-2.272727,0.873047,-3.125572,0.000000,-2.221369,0.859603,-2.983844,0.894832,-2.134744,0.854622,-3.187771,0.823540,-2.128624,0.849315,-3.062615,0.871551,-2.463939,0.900653,-3.130272,0.943051,-2.414958,0.901041,-3.263356,0.691570,-2.221369,0.859603,-2.983844,-2.134744,0.854622,-3.187771,-2.128624,0.849315,-3.062615,-2.463939,0.900653,-3.130272,-2.414958,0.901041,-3.263356
3362,9.338889,0.002770,0.206216,0.065711,-0.976294,-2.272036,0.873385,-3.127397,0.000000,-2.135099,0.855558,-3.189329,0.810088,-2.220099,0.859682,-2.984701,0.857358,-2.126727,0.848610,-3.067699,0.873815,-2.408411,0.900874,-3.261533,0.916467,-2.469843,0.902200,-3.133725,0.726633,-2.135099,0.855558,-3.189329,-2.220099,0.859682,-2.984701,-2.126727,0.848610,-3.067699,-2.408411,0.900874,-3.261533,-2.469843,0.902200,-3.133725
3363,9.341667,0.003633,0.206194,0.066059,-0.976272,-2.271191,0.873404,-3.128907,0.000000,-2.134281,0.855340,-3.190831,0.836036,-2.219247,0.859867,-2.986197,0.862674,-2.125899,0.848570,-3.069192,0.859895,-2.407556,0.900829,-3.263066,0.924506,-2.468969,0.902415,-3.135250,0.758616,-2.134281,0.855340,-3.190831,-2.219247,0.859867,-2.986197,-2.125899,0.848570,-3.069192,-2.407556,0.900829,-3.263066,-2.468969,0.902415,-3.135250
3364,9.344444,0.004636,0.206043,0.067434,-0.976206,-2.270509,0.872526,-3.130879,0.000000,-2.133681,0.853951,-3.192832,0.827868,-2.218552,0.859023,-2.988171,0.855968,-2.125271,0.847323,-3.071186,0.856971,-2.406841,0.900190,-3.265023,0.912429,-2.468199,0.902142,-3.137185,0.753787,-2.133681,0.853951,-3.192832,-2.218552,0.859023,-2.988171,-2.125271,0.847323,-3.071186,-2.406841,0.900190,-3.265023,-2.468199,0.902142,-3.137185
3365,9.347222,0.004110,0.205546,0.067181,-0.976330,-2.269809,0.872582,-3.132958,0.000000,-2.133026,0.854167,-3.195059,0.885921,-2.217705,0.858976,-2.990313,0.875257,-2.124496,0.847425,-3.073429,0.890276,-2.406289,0.900280,-3.266944,0.936137,-2.467525,0.902062,-3.139046,0.744383,-2.133026,0.854167,-3.195059,-2.217705,0.858976,-2.990313,-2.124496,0.847425,-3.073429,-2.406289,0.900280,-3.266944,-2.467525,0.902062,-3.139046
3366,9.350000,0.004811,0.206423,0.066010,-0.976222,-2.269030,0.872494,-3.134559,0.000000,-2.132109,0.854230,-3.196398,0.840739,-2.217136,0.859272,-2.991802,0.859450,-2.123766,0.847744,-3.074741,0.849480,-2.405343,0.899657,-3.268825,0.952718,-2.466795,0.901568,-3.141032,0.707197,-2.132109,0.854230,-3.196398,-2.217136,0.859272,-2.991802,-2.123766,0.847744,-3.074741,-2.405343,0.899657,-3.268825,-2.466795,0.901568,-3.141032
3367,9.352778,0.005526,0.206379,0.067900,-0.976098,-2.268282,0.872410,-3.136367,0.000000,-2.131442,0.853561,-3.198210,0.830440,-2.216426,0.859068,-2.993607,0.826462,-2.123112,0.847115,-3.076549,0.857312,-2.404501,0.900036,-3.270634,0.931084,-2.465930,0.902271,-3.142836,0.703043,-2.131442,0.853561,-3.198210,-2.216426,0.859068,-2.993607,-2.123112,0.847115,-3.076549,-2.404501,0.900036,-3.270634,-2.465930,0.902271,-3.142836
3368,9.355556,-0.977527,0.094058,-0.188657,-0.001281,-2.267529,0.871443,-3.138293,0.000000,-2.216295,0.858378,-2.996485,0.835190,-2.129704,0.851492,-3.200372,0.857083,-2.123636,0.846852,-3.075186,0.856481,-2.458500,0.900642,-3.143170,0.914687,-2.409511,0.899851,-3.276250,0.684305,-2.216295,0.858378,-2.996485,-2.129704,0.851492,-3.200372,-2.123636,0.846852,-3.075186,-2.458500,0.900642,-3.143170,-2.409511,0.899851,-3.276250
3369,9.358333,0.004825,0.206038,0.066367,-0.976279,-2.266637,0.872263,-3.140155,0.000000,-2.129776,0.853914,-3.202103,0.859321,-2.214642,0.858980,-2.997440,0.844410,-2.121345,0.847401,-3.080453,0.839054,-2.403035,0.899544,-3.274310,0.935969,-2.464386,0.901476,-3.146470,0.689640,-2.129776,0.853914,-3.202103,-2.214642,0.858980,-2.997440,-2.121345,0.847401,-3.080453,-2.403035,0.899544,-3.274310,-2.464386,0.901476,-3.146470
3370,9.361111,0.004720,0.206242,0.066305,-0.976240,-2.265876,0.871983,-3.141796,0.000000,-2.128985,0.853666,-3.203688,0.843849,-2.213940,0.858687,-2.999061,0.856200,-2.120605,0.847135,-3.082036,0.878960,-2.402220,0.899263,-3.276006,0.927406,-2.463627,0.901166,-3.148191,0.754618,-2.128985,0.853666,-3.203688,-2.213940,0.858687,-2.999061,-2.120605,0.847135,-3.082036,-2.402220,0.899263,-3.276006,-2.463627,0.901166,-3.148191
3371,9.363889,0.004427,0.206085,0.066682,-0.976249,-2.265067,0.872043,-3.143570,0.000000,-2.128205,0.853687,-3.205513,0.839217,-2.213101,0.858608,-3.000859,0.837487,-2.119795,0.847061,-3.083867,0.875448,-2.401431,0.899507,-3.277722,0.915699,-2.462802,0.901351,-3.149890,0.732128,-2.128205,0.853687,-3.205513,-2.213101,0.858608,-3.000859,-2.119795,0.847061,-3.083867,-2.401431,0.899507,-3.277722,-2.462802,0.901351,-3.149890
3372,9.366667,0.003156,0.205976,0.068056,-0.976183,-2.264333,0.871995,-3.145258,0.000000,-2.127510,0.853532,-3.207257,0.849991,-2.212396,0.858010,-3.002588,0.846486,-2.119115,0.846515,-3.085633,0.889889,-2.400637,0.900165,-3.279324,0.924706,-2.462003,0.901752,-3.151487,0.766244,-2.127510,0.853532,-3.207257,-2.212396,0.858010,-3.002588,-2.119115,0.846515,-3.085633,-2.400637,0.900165,-3.279324,-2.462003,0.901752,-3.151487
3373,9.369444,0.005792,0.206137,0.068001,-0.976140,-2.263622,0.871694,-3.147259,0.000000,-2.126820,0.852775,-3.209165,0.857557,-2.211695,0.858399,-3.004520,0.830581,-2.118428,0.846381,-3.087506,0.894563,-2.399902,0.899302,-3.281466,0.931635,-2.461264,0.901612,-3.153637,0.732956,-2.126820,0.852775,-3.209165,-2.211695,0.858399,-3.004520,-2.118428,0.846381,-3.087506,-2.399902,0.899302,-3.281466,-2.461264,0.901612,-3.153637
3374,9.372222,0.005412,0.205835,0.067673,-0.976229,-2.262787,0.871964,-3.148852,0.000000,-2.126005,0.853195,-3.210849,0.865062,-2.210767,0.858618,-3.006152,0.846580,-2.117538,0.846729,-3.089199,0.892335,-2.399167,0.899549,-3.282963,0.928535,-2.460456,0.901727,-3.155097,0.740866,-2.126005,0.853195,-3.210849,-2.210767,0.858618,-3.006152,-2.117538,0.846729,-3.089199,-2.399167,0.899549,-3.282963,-2.460456,0.901727,-3.155097
3375,9.375000,0.005495,0.205590,0.069926,-0.976121,-2.261840,0.871487,-3.150732,0.000000,-2.125169,0.852159,-3.212802,0.895335,-2.209819,0.857796,-3.008064,0.880655,-2.116680,0.845558,-3.091161,0.892831,-2.398152,0.899785,-3.284763,0.949044,-2.459377,0.902134,-3.156869,0.777826,-2.125169,0.852159,-3.212802,-2.209819,0.857796,-3.008064,-2.116680,0.845558,-3.091161,-2.398152,0.899785,-3.284763,-2.459377,0.902134,-3.156869
3376,9.377778,0.005054,0.206117,0.068337,-0.976125,-2.261328,0.871803,-3.152444,0.000000,-2.124528,0.852933,-3.214370,0.895335,-2.209416,0.858264,-3.009722,0.880655,-2.116147,0.846344,-3.092720,0.892831,-2.397589,0.899671,-3.286617,0.949044,-2.458959,0.901801,-3.158789,0.777826,-2.124528,0.852933,-3.214370,-2.209416,0.858264,-3.009722,-2.116147,0.846344,-3.092720,-2.397589,0.899671,-3.286617,-2.458959,0.901801,-3.158789
3377,9.380556,-0.977843,0.091761,-0.188156,-0.000071,-2.260614,0.871909,-3.154595,0.000000,-2.209190,0.858875,-3.012853,0.877028,-2.122746,0.852747,-3.216825,0.846502,-2.116544,0.847938,-3.091653,0.873715,-2.451733,0.900160,-3.159259,0.944787,-2.402858,0.899826,-3.292383,0.708399,-2.209190,0.858875,-3.012853,-2.122746,0.852747,-3.216825,-2.116544,0.847938,-3.091653,-2.451733,0.900160,-3.159259,-2.402858,0.899826,-3.292383
3378,9.383333,0.003803,0.205345,0.068155,-0.976306,-2.259828,0.872236,-3.156165,0.000000,-2.123099,0.853642,-3.218331,0.864489,-2.207701,0.858390,-3.013551,0.849339,-2.114540,0.846759,-3.096710,0.861580,-2.396303,0.900315,-3.290076,0.947078,-2.457494,0.902074,-3.162157,0.704383,-2.123099,0.853642,-3.218331,-2.207701,0.858390,-3.013551,-2.114540,0.846759,-3.096710,-2.396303,0.900315,-3.290076,-2.457494,0.902074,-3.162157
3379,9.386111,0.004919,0.206428,0.067781,-0.976099,-2.259158,0.872061,-3.157824,0.000000,-2.122298,0.853348,-3.219663,0.867743,-2.207321,0.858583,-3.015070,0.836927,-2.113986,0.846769,-3.098009,0.879427,-2.395366,0.899773,-3.292084,0.918514,-2.456819,0.901834,-3.164294,0.724574,-2.122298,0.853348,-3.219663,-2.207321,0.858583,-3.015070,-2.113986,0.846769,-3.098009,-2.395366,0.899773,-3.292084,-2.456819,0.901834,-3.164294
3380,9.388889,0.006124,0.205915,0.067607,-0.976212,-2.258491,0.872187,-3.160000,0.000000,-2.121709,0.853307,-3.221961,0.893704,-2.206482,0.859037,-3.017277,0.871048,-2.113251,0.847013,-3.100302,0.910064,-2.394858,0.899603,-3.294159,0.922835,-2.456155,0.901974,-3.166301,0.791565,-2.121709,0.853307,-3.221961,-2.206482,0.859037,-3.017277,-2.113251,0.847013,-3.100302,-2.394858,0.899603,-3.294159,-2.456155,0.901974,-3.166301
3381,9.391667,0.005221,0.206148,0.067129,-0.976202,-2.257593,0.871915,-3.161776,0.000000,-2.120750,0.853309,-3.223687,0.825522,-2.205649,0.858613,-3.019044,0.838885,-2.112354,0.846839,-3.102033,0.867910,-2.393918,0.899358,-3.295972,0.946105,-2.455292,0.901453,-3.168145,0.747098,-2.120750,0.853309,-3.223687,-2.205649,0.858613,-3.019044,-2.112354,0.846839,-3.102033,-2.393918,0.899358,-3.295972,-2.455292,0.901453,-3.168145
3382,9.394444,0.005786,0.206182,0.068516,-0.976095,-2.256762,0.871757,-3.163540,0.000000,-2.119972,0.852714,-3.225435,0.879616,-2.204865,0.858379,-3.020798,0.836828,-2.111601,0.846285,-3.103776,0.892243,-2.392999,0.899531,-3.297757,0.926746,-2.454373,0.901876,-3.169935,0.747278,-2.119972,0.852714,-3.225435,-2.204865,0.858379,-3.020798,-2.111601,0.846285,-3.103776,-2.392999,0.899531,-3.297757,-2.454373,0.901876,-3.169935
3383,9.397222,0.004457,0.206354,0.068451,-0.976070,-2.256110,0.871802,-3.165114,0.000000,-2.119275,0.853009,-3.226985,0.868291,-2.204279,0.858096,-3.022379,0.864237,-2.110963,0.846276,-3.105338,0.865053,-2.392295,0.899826,-3.299332,0.926103,-2.453738,0.901804,-3.171536,0.760983,-2.119275,0.853009,-3.226985,-2.204279,0.858096,-3.022379,-2.110963,0.846276,-3.105338,-2.392295,0.899826,-3.299332,-2.453738,0.901804,-3.171536
