Format Version,1.22,Take Name,Kiryu's radar 2 across and back fast,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 10.38.18.323 AM,Total Frames in Take,7368,Total Exported Frames,7368,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.044444,0.009356,-0.005326,0.040516,-0.999121,-3.760731,0.926935,2.428733,0.000000,-3.661039,0.915377,2.315450,0.875673,-3.653822,0.916559,2.536947,0.852199,-3.602769,0.909530,2.422607,0.912345,-3.941502,0.947062,2.363441,0.934832,-3.944521,0.946149,2.505219,0.773999,-3.661039,0.915377,2.315450,-3.653822,0.916559,2.536947,-3.602769,0.909530,2.422607,-3.941502,0.947062,2.363441,-3.944521,0.946149,2.505219,,,
17,0.047222,0.009199,-0.005181,0.040159,-0.999138,-3.760699,0.926823,2.428793,0.000000,-3.660966,0.915371,2.315536,0.860951,-3.653815,0.916490,2.537036,0.849418,-3.602723,0.909532,2.422708,0.905201,-3.941465,0.946839,2.363454,0.927937,-3.944526,0.945881,2.505230,0.758693,-3.660966,0.915371,2.315536,-3.653815,0.916490,2.537036,-3.602723,0.909532,2.422708,-3.941465,0.946839,2.363454,-3.944526,0.945881,2.505230,,,
18,0.050000,0.008846,-0.005185,0.040473,-0.999128,-3.760694,0.926915,2.428768,0.000000,-3.660965,0.915480,2.315505,0.850851,-3.653819,0.916439,2.537006,0.835760,-3.602728,0.909529,2.422675,0.898912,-3.941445,0.947092,2.363438,0.920478,-3.944510,0.946036,2.505214,0.752318,-3.660965,0.915480,2.315505,-3.653819,0.916439,2.537006,-3.602728,0.909529,2.422675,-3.941445,0.947092,2.363438,-3.944510,0.946036,2.505214,,,
19,0.052778,0.008897,-0.005071,0.040424,-0.999130,-3.760715,0.926863,2.428804,0.000000,-3.660960,0.915425,2.315565,0.853376,-3.653863,0.916409,2.537067,0.843652,-3.602747,0.909491,2.422748,0.894059,-3.941454,0.947014,2.363432,0.924620,-3.944550,0.945974,2.505207,0.751891,-3.660960,0.915425,2.315565,-3.653863,0.916409,2.537067,-3.602747,0.909491,2.422748,-3.941454,0.947014,2.363432,-3.944550,0.945974,2.505207,,,
20,0.055556,0.008875,-0.004917,0.040417,-0.999131,-3.760657,0.926919,2.428773,0.000000,-3.660866,0.915487,2.315564,0.857842,-3.653839,0.916464,2.537069,0.799832,-3.602686,0.909551,2.422765,1.000000,-3.941376,0.947070,2.363346,0.903955,-3.944516,0.946024,2.505120,0.778788,-3.660866,0.915487,2.315564,-3.653839,0.916464,2.537069,-3.602686,0.909551,2.422765,-3.941376,0.947070,2.363346,-3.944516,0.946024,2.505120,,,
21,0.058333,0.008741,-0.005061,0.040510,-0.999128,-3.760741,0.926911,2.428815,0.000000,-3.660984,0.915491,2.315576,0.858871,-3.653895,0.916405,2.537079,0.850908,-3.602776,0.909514,2.422759,0.899731,-3.941474,0.947114,2.363443,0.925729,-3.944576,0.946030,2.505218,0.771003,-3.660984,0.915491,2.315576,-3.653895,0.916405,2.537079,-3.602776,0.909514,2.422759,-3.941474,0.947114,2.363443,-3.944576,0.946030,2.505218,,,
22,0.061111,0.009200,-0.005100,0.040835,-0.999111,-3.760789,0.926872,2.428870,0.000000,-3.661051,0.915283,2.315630,0.853912,-3.653938,0.916396,2.537132,0.843517,-3.602835,0.909367,2.422813,0.894864,-3.941516,0.947132,2.363500,0.924986,-3.944602,0.946180,2.505276,0.752421,-3.661051,0.915283,2.315630,-3.653938,0.916396,2.537132,-3.602835,0.909367,2.422813,-3.941516,0.947132,2.363500,-3.944602,0.946180,2.505276,,,
23,0.063889,0.008949,-0.005168,0.040254,-0.999136,-3.760755,0.926923,2.428783,0.000000,-3.661018,0.915508,2.315524,0.856929,-3.653878,0.916515,2.537026,0.845084,-3.602782,0.909604,2.422697,0.901308,-3.941514,0.947007,2.363445,0.927084,-3.944581,0.945979,2.505221,0.749123,-3.661018,0.915508,2.315524,-3.653878,0.916515,2.537026,-3.602782,0.909604,2.422697,-3.941514,0.947007,2.363445,-3.944581,0.945979,2.505221,,,
24,0.066667,0.008765,-0.005031,0.040469,-0.999130,-3.760852,0.926837,2.428867,0.000000,-3.661088,0.915420,2.315634,0.855520,-3.654012,0.916345,2.537138,0.840000,-3.602885,0.909453,2.422821,0.900471,-3.941584,0.947022,2.363483,0.920038,-3.944693,0.945945,2.505258,0.753924,-3.661088,0.915420,2.315634,-3.654012,0.916345,2.537138,-3.602885,0.909453,2.422821,-3.941584,0.947022,2.363483,-3.944693,0.945945,2.505258,,,
25,0.069444,0.009132,-0.005233,0.040550,-0.999122,-3.760645,0.926984,2.428838,0.000000,-3.660931,0.915469,2.315570,0.852332,-3.653759,0.916553,2.537070,0.839390,-3.602683,0.909570,2.422736,0.901083,-3.941401,0.947151,2.363518,0.921418,-3.944449,0.946176,2.505295,0.762090,-3.660931,0.915469,2.315570,-3.653759,0.916553,2.537070,-3.602683,0.909570,2.422736,-3.941401,0.947151,2.363518,-3.944449,0.946176,2.505295,,,
