Format Version,1.22,Take Name,Kiryu's radar 2 across and back fast,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 10.38.18.323 AM,Total Frames in Take,7368,Total Exported Frames,7368,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
4819,13.386111,-0.005578,0.061466,-0.040416,0.997275,-3.735653,0.909669,-2.519334,0.000000,-3.649260,0.899446,-2.643176,0.862992,-3.617342,0.897944,-2.423873,0.850897,-3.579394,0.892281,-2.543278,0.893034,-3.922551,0.930649,-2.563774,0.929501,-3.909715,0.928022,-2.422568,0.712882,-3.649260,0.899446,-2.643176,-3.617342,0.897944,-2.423873,-3.579394,0.892281,-2.543278,-3.922551,0.930649,-2.563774,-3.909715,0.928022,-2.422568,,,
4820,13.388889,-0.005489,0.061789,-0.039510,0.997292,-3.735897,0.909186,-2.516572,0.000000,-3.649566,0.899158,-2.640474,0.851756,-3.617504,0.897644,-2.421192,0.833013,-3.579623,0.892086,-2.540623,0.853582,-3.922862,0.929846,-2.560886,0.907747,-3.909929,0.927197,-2.419689,0.712091,-3.649566,0.899158,-2.640474,-3.617504,0.897644,-2.421192,-3.579623,0.892086,-2.540623,-3.922862,0.929846,-2.560886,-3.909929,0.927197,-2.419689,,,
4821,13.391667,-0.009789,0.061521,-0.042761,0.997141,-3.735819,0.909587,-2.513144,0.000000,-3.649527,0.897929,-2.636930,0.866282,-3.617514,0.898198,-2.417636,0.848078,-3.579645,0.891340,-2.537003,0.901476,-3.922649,0.930960,-2.557686,0.908152,-3.909758,0.929505,-2.416468,0.717135,-3.649527,0.897929,-2.636930,-3.617514,0.898198,-2.417636,-3.579645,0.891340,-2.537003,-3.922649,0.930960,-2.557686,-3.909758,0.929505,-2.416468,,,
4822,13.394444,-0.004699,0.061588,-0.039175,0.997322,-3.735945,0.909037,-2.510386,0.000000,-3.649551,0.899256,-2.634264,0.867057,-3.617590,0.897410,-2.414969,0.849395,-3.579650,0.892065,-2.534392,0.849253,-3.922901,0.929660,-2.554753,0.924977,-3.910032,0.926792,-2.413554,0.715133,-3.649551,0.899256,-2.634264,-3.617590,0.897410,-2.414969,-3.579650,0.892065,-2.534392,-3.922901,0.929660,-2.554753,-3.910032,0.926792,-2.413554,,,
4823,13.397222,-0.002011,0.062511,-0.040039,0.997239,-3.736037,0.909395,-2.507191,0.000000,-3.649865,0.900097,-2.631260,0.872235,-3.617550,0.897016,-2.412032,0.845744,-3.579816,0.892229,-2.531543,0.881519,-3.923021,0.930640,-2.551141,0.932121,-3.909929,0.926993,-2.409981,0.715279,-3.649865,0.900097,-2.631260,-3.617550,0.897016,-2.412032,-3.579816,0.892229,-2.531543,-3.923021,0.930640,-2.551141,-3.909929,0.926993,-2.409981,,,
4824,13.400000,-0.003059,0.061162,-0.040673,0.997294,-3.736074,0.909957,-2.503896,0.000000,-3.649589,0.900279,-2.627718,0.884637,-3.617851,0.897661,-2.408399,0.856586,-3.579810,0.892560,-2.527800,0.880553,-3.922919,0.931311,-2.548384,0.936348,-3.910200,0.927971,-2.407182,0.717738,-3.649589,0.900279,-2.627718,-3.617851,0.897661,-2.408399,-3.579810,0.892560,-2.527800,-3.922919,0.931311,-2.548384,-3.910200,0.927971,-2.407182,,,
4825,13.402778,-0.002298,0.062305,-0.040859,0.997218,-3.736262,0.909782,-2.501014,0.000000,-3.650058,0.900260,-2.625043,0.870076,-3.617833,0.897279,-2.405800,0.854678,-3.580060,0.892349,-2.525293,0.885619,-3.923196,0.931296,-2.545051,0.931076,-3.910164,0.927726,-2.403883,0.726795,-3.650058,0.900260,-2.625043,-3.617833,0.897279,-2.405800,-3.580060,0.892349,-2.525293,-3.923196,0.931296,-2.545051,-3.910164,0.927726,-2.403883,,,
4826,13.405556,-0.003782,0.061377,-0.039006,0.997345,-3.736026,0.909846,-2.497869,0.000000,-3.649569,0.900313,-2.621722,0.872766,-3.617715,0.898071,-2.402416,0.854673,-3.579715,0.892954,-2.521829,0.894578,-3.922964,0.930508,-2.542291,0.923157,-3.910165,0.927384,-2.401091,0.741339,-3.649569,0.900313,-2.621722,-3.617715,0.898071,-2.402416,-3.579715,0.892954,-2.521829,-3.922964,0.930508,-2.542291,-3.910165,0.927384,-2.401091,,,
4827,13.408333,-0.003801,0.061411,-0.039476,0.997324,-3.736262,0.909883,-2.494771,0.000000,-3.649822,0.900257,-2.618629,0.862728,-3.617956,0.898006,-2.399325,0.835276,-3.579969,0.892842,-2.518740,0.885037,-3.923184,0.930716,-2.539182,0.918655,-3.910378,0.927593,-2.397983,0.713683,-3.649822,0.900257,-2.618629,-3.617956,0.898006,-2.399325,-3.579969,0.892842,-2.518740,-3.923184,0.930716,-2.539182,-3.910378,0.927593,-2.397983,,,
4828,13.411111,-0.007693,0.061410,-0.038546,0.997338,-3.735969,0.909069,-2.491881,0.000000,-3.649544,0.898698,-2.615688,0.893260,-3.617607,0.898199,-2.396384,0.866675,-3.579644,0.892211,-2.515768,0.897702,-3.922953,0.929126,-2.536389,0.942276,-3.910097,0.927113,-2.395175,0.742004,-3.649544,0.898698,-2.615688,-3.617607,0.898199,-2.396384,-3.579644,0.892211,-2.515768,-3.922953,0.929126,-2.536389,-3.910097,0.927113,-2.395175,,,
4829,13.413889,-0.007424,0.061965,-0.039368,0.997274,-3.736294,0.909854,-2.488917,0.000000,-3.650021,0.899397,-2.612823,0.875275,-3.617847,0.898739,-2.393554,0.838304,-3.580023,0.892744,-2.512982,0.901816,-3.923292,0.930247,-2.533214,0.909473,-3.910286,0.928145,-2.392015,0.722403,-3.650021,0.899397,-2.612823,-3.617847,0.898739,-2.393554,-3.580023,0.892744,-2.512982,-3.923292,0.930247,-2.533214,-3.910286,0.928145,-2.392015,,,
4830,13.416667,-0.006308,0.061245,-0.039429,0.997324,-3.736280,0.909836,-2.485723,0.000000,-3.649820,0.899625,-2.609519,0.872367,-3.617981,0.898485,-2.390203,0.867434,-3.579977,0.892739,-2.509586,0.883776,-3.923204,0.930371,-2.530262,0.923100,-3.910416,0.927961,-2.389047,0.735554,-3.649820,0.899625,-2.609519,-3.617981,0.898485,-2.390203,-3.579977,0.892739,-2.509586,-3.923204,0.930371,-2.530262,-3.910416,0.927961,-2.389047,,,
4831,13.419444,-0.009775,0.061933,-0.039571,0.997248,-3.736238,0.909105,-2.482833,0.000000,-3.649981,0.898053,-2.606699,0.868876,-3.617780,0.898426,-2.387432,0.871552,-3.579972,0.891863,-2.506835,0.901812,-3.923239,0.929311,-2.527203,0.929688,-3.910216,0.927873,-2.385996,0.752707,-3.649981,0.898053,-2.606699,-3.617780,0.898426,-2.387432,-3.579972,0.891863,-2.506835,-3.923239,0.929311,-2.527203,-3.910216,0.927873,-2.385996,,,
4832,13.422222,-0.010492,0.061655,-0.040406,0.997224,-3.736178,0.909198,-2.479367,0.000000,-3.649876,0.897817,-2.603171,0.851451,-3.617786,0.898481,-2.383889,0.823161,-3.579927,0.891672,-2.503263,0.876892,-3.923124,0.929628,-2.523864,0.927820,-3.910176,0.928390,-2.382649,0.729483,-3.649876,0.897817,-2.603171,-3.617786,0.898481,-2.383889,-3.579927,0.891672,-2.503263,-3.923124,0.929628,-2.523864,-3.910176,0.928390,-2.382649,,,
4833,13.425000,-0.006482,0.061462,-0.041351,0.997231,-3.736303,0.909832,-2.476623,0.000000,-3.649937,0.899220,-2.600451,0.865859,-3.618007,0.898083,-2.381147,0.860656,-3.580077,0.892124,-2.500544,0.882516,-3.923167,0.931056,-2.521092,0.922725,-3.910326,0.928676,-2.379882,0.715087,-3.649937,0.899220,-2.600451,-3.618007,0.898083,-2.381147,-3.580077,0.892124,-2.500544,-3.923167,0.931056,-2.521092,-3.910326,0.928676,-2.379882,,,
4834,13.427778,-0.010297,0.061089,-0.041899,0.997199,-3.736310,0.909025,-2.473198,0.000000,-3.649897,0.897406,-2.596903,0.875159,-3.618063,0.897939,-2.377583,0.857122,-3.580085,0.891037,-2.496913,0.893649,-3.923142,0.930022,-2.517911,0.932751,-3.910363,0.928723,-2.376681,0.735167,-3.649897,0.897406,-2.596903,-3.618063,0.897939,-2.377583,-3.580085,0.891037,-2.496913,-3.923142,0.930022,-2.517911,-3.910363,0.928723,-2.376681,,,
4835,13.430556,-0.011484,0.061952,-0.040943,0.997173,-3.736291,0.909015,-2.470363,0.000000,-3.650083,0.897302,-2.594202,0.830341,-3.617846,0.898377,-2.374943,0.834998,-3.580074,0.891292,-2.494328,0.856266,-3.923248,0.929535,-2.514777,0.903035,-3.910206,0.928570,-2.373568,0.704433,-3.650083,0.897302,-2.594202,-3.617846,0.898377,-2.374943,-3.580074,0.891292,-2.494328,-3.923248,0.929535,-2.514777,-3.910206,0.928570,-2.373568,,,
4836,13.433333,-0.008781,0.060950,-0.041851,0.997225,-3.736417,0.909481,-2.467087,0.000000,-3.649955,0.898228,-2.590791,0.871972,-3.618210,0.898096,-2.371458,0.854380,-3.580184,0.891550,-2.490793,0.878388,-3.923229,0.930628,-2.511812,0.915836,-3.910508,0.928902,-2.370582,0.736249,-3.649955,0.898228,-2.590791,-3.618210,0.898096,-2.371458,-3.580184,0.891550,-2.490793,-3.923229,0.930628,-2.511812,-3.910508,0.928902,-2.370582,,,
4837,13.436111,-0.011260,0.061845,-0.040627,0.997195,-3.736242,0.909151,-2.464110,0.000000,-3.649998,0.897549,-2.587935,0.821966,-3.617812,0.898539,-2.368668,0.841368,-3.580008,0.891533,-2.488048,0.821263,-3.923200,0.929578,-2.508556,0.914093,-3.910190,0.928554,-2.367345,0.727237,-3.649998,0.897549,-2.587935,-3.617812,0.898539,-2.368668,-3.580008,0.891533,-2.488048,-3.923200,0.929578,-2.508556,-3.910190,0.928554,-2.367345,,,
4838,13.438889,-0.010156,0.061258,-0.040361,0.997254,-3.736253,0.909196,-2.460992,0.000000,-3.649848,0.897901,-2.584733,0.865302,-3.617939,0.898425,-2.365424,0.850596,-3.579982,0.891696,-2.484771,0.894825,-3.923164,0.929644,-2.505630,0.894029,-3.910332,0.928316,-2.364405,0.757455,-3.649848,0.897901,-2.584733,-3.617939,0.898425,-2.365424,-3.579982,0.891696,-2.484771,-3.923164,0.929644,-2.505630,-3.910332,0.928316,-2.364405,,,
4839,13.441667,-0.010345,0.061357,-0.041680,0.997192,-3.736335,0.909295,-2.457898,0.000000,-3.649984,0.897708,-2.581650,0.858841,-3.618031,0.898265,-2.362347,0.865315,-3.580114,0.891373,-2.481698,0.889220,-3.923200,0.930208,-2.502511,0.908980,-3.910344,0.928921,-2.361288,0.732342,-3.649984,0.897708,-2.581650,-3.618031,0.898265,-2.362347,-3.580114,0.891373,-2.481698,-3.923200,0.930208,-2.502511,-3.910344,0.928921,-2.361288,,,
4840,13.444444,-0.010365,0.061086,-0.040420,0.997260,-3.736163,0.909247,-2.454836,0.000000,-3.649719,0.897889,-2.578543,0.851338,-3.617882,0.898507,-2.359224,0.846719,-3.579885,0.891722,-2.478556,0.887781,-3.923057,0.929691,-2.499544,0.917341,-3.910272,0.928424,-2.358314,0.712665,-3.649719,0.897889,-2.578543,-3.617881,0.898507,-2.359224,-3.579885,0.891722,-2.478556,-3.923057,0.929691,-2.499544,-3.910272,0.928424,-2.358314,,,
4841,13.447222,-0.008909,0.061000,-0.040112,0.997292,-3.736195,0.909024,-2.451906,0.000000,-3.649710,0.898068,-2.575621,0.865737,-3.617936,0.898055,-2.356292,0.866641,-3.579902,0.891638,-2.475632,0.902346,-3.923085,0.929518,-2.496607,0.909095,-3.910339,0.927841,-2.355378,0.737068,-3.649710,0.898068,-2.575621,-3.617936,0.898055,-2.356292,-3.579902,0.891638,-2.475632,-3.923085,0.929518,-2.496607,-3.910339,0.927841,-2.355378,,,
4842,13.450000,-0.007176,0.060955,-0.038422,0.997375,-3.736264,0.909837,-2.448748,0.000000,-3.649720,0.899608,-2.572484,0.851919,-3.617991,0.898893,-2.353150,0.860636,-3.579913,0.893032,-2.472504,0.878837,-3.923210,0.929902,-2.493414,0.913208,-3.910487,0.927749,-2.352190,0.728691,-3.649720,0.899608,-2.572484,-3.617991,0.898893,-2.353150,-3.579913,0.893032,-2.472504,-3.923210,0.929902,-2.493414,-3.910487,0.927749,-2.352190,,,
4843,13.452778,-0.007616,0.060989,-0.041657,0.997240,-3.736328,0.909161,-2.445535,0.000000,-3.649861,0.898220,-2.569263,0.832786,-3.618120,0.897581,-2.349931,0.847695,-3.580090,0.891325,-2.469280,0.864176,-3.923145,0.930367,-2.490213,0.896395,-3.910425,0.928312,-2.348987,0.732007,-3.649861,0.898220,-2.569263,-3.618120,0.897581,-2.349931,-3.580090,0.891325,-2.469280,-3.923145,0.930367,-2.490213,-3.910425,0.928312,-2.348987,,,
4844,13.455556,-0.008275,0.060560,-0.040076,0.997325,-3.736473,0.909581,-2.442243,0.000000,-3.649873,0.898778,-2.565891,0.852770,-3.618303,0.898495,-2.346533,0.844868,-3.580159,0.892224,-2.465845,0.894115,-3.923322,0.930128,-2.487093,0.897987,-3.910708,0.928278,-2.345855,0.693455,-3.649873,0.898778,-2.565891,-3.618303,0.898495,-2.346533,-3.580159,0.892224,-2.465845,-3.923322,0.930128,-2.487093,-3.910708,0.928278,-2.345855,,,
4845,13.458333,-0.008387,0.060623,-0.039407,0.997347,-3.736267,0.909602,-2.439097,0.000000,-3.649671,0.898898,-2.562756,0.853998,-3.618069,0.898688,-2.343402,0.854913,-3.579933,0.892453,-2.462719,0.851478,-3.923150,0.929891,-2.483923,0.927064,-3.910513,0.928077,-2.342686,0.720401,-3.649671,0.898898,-2.562756,-3.618069,0.898688,-2.343402,-3.579933,0.892453,-2.462719,-3.923150,0.929891,-2.483923,-3.910513,0.928077,-2.342686,,,
4846,13.461111,-0.006715,0.061090,-0.039421,0.997331,-3.736401,0.909459,-2.436146,0.000000,-3.649906,0.899152,-2.559910,0.858353,-3.618128,0.898195,-2.340583,0.835150,-3.580090,0.892353,-2.459951,0.891671,-3.923315,0.929945,-2.480753,0.926573,-3.910565,0.927651,-2.339534,0.742408,-3.649906,0.899152,-2.559910,-3.618128,0.898195,-2.340583,-3.580090,0.892353,-2.459951,-3.923315,0.929945,-2.480753,-3.910565,0.927651,-2.339534,,,
4847,13.463889,-0.009686,0.061003,-0.040281,0.997277,-3.736519,0.909440,-2.432687,0.000000,-3.650046,0.898269,-2.556391,0.863572,-3.618256,0.898593,-2.337065,0.842896,-3.580233,0.891978,-2.456397,0.872135,-3.923408,0.929909,-2.477408,0.914210,-3.910653,0.928451,-2.336178,0.719516,-3.650046,0.898269,-2.556391,-3.618256,0.898593,-2.337065,-3.580233,0.891978,-2.456397,-3.923408,0.929909,-2.477408,-3.910653,0.928451,-2.336178,,,
4848,13.466667,-0.010090,0.060560,-0.039202,0.997343,-3.736505,0.909262,-2.429942,0.000000,-3.649903,0.898195,-2.553566,0.863810,-3.618299,0.898745,-2.334213,0.837190,-3.580161,0.892130,-2.453508,0.860790,-3.923401,0.929285,-2.474834,0.921890,-3.910761,0.927956,-2.333592,0.716647,-3.649903,0.898195,-2.553566,-3.618299,0.898745,-2.334213,-3.580161,0.892130,-2.453508,-3.923401,0.929285,-2.474834,-3.910761,0.927956,-2.333592,,,
4849,13.469444,-0.006978,0.060920,-0.039550,0.997334,-3.736588,0.909508,-2.426838,0.000000,-3.650056,0.899113,-2.550568,0.891768,-3.618349,0.898270,-2.331231,0.851297,-3.580273,0.892353,-2.450583,0.891345,-3.923483,0.930010,-2.471516,0.924874,-3.910779,0.927792,-2.330291,0.722402,-3.650056,0.899113,-2.550568,-3.618349,0.898270,-2.331231,-3.580273,0.892353,-2.450583,-3.923483,0.930010,-2.471516,-3.910779,0.927792,-2.330291,,,
4850,13.472222,-0.010489,0.060534,-0.038666,0.997362,-3.736519,0.909304,-2.423232,0.000000,-3.649903,0.898243,-2.546846,0.871372,-3.618302,0.898989,-2.327493,0.870344,-3.580155,0.892330,-2.446784,0.861376,-3.923436,0.929085,-2.468141,0.928772,-3.910797,0.927873,-2.326898,0.713517,-3.649903,0.898243,-2.546846,-3.618302,0.898989,-2.327493,-3.580155,0.892330,-2.446784,-3.923436,0.929085,-2.468141,-3.910797,0.927873,-2.326898,,,
4851,13.475000,-0.009973,0.060731,-0.039503,0.997322,-3.736506,0.909601,-2.420688,0.000000,-3.649952,0.898506,-2.544343,0.878503,-3.618275,0.898991,-2.325000,0.861565,-3.580180,0.892377,-2.444309,0.905481,-3.923404,0.929750,-2.465514,0.918083,-3.910719,0.928383,-2.324277,0.730639,-3.649952,0.898506,-2.544343,-3.618275,0.898991,-2.325000,-3.580180,0.892377,-2.444309,-3.923404,0.929750,-2.465514,-3.910719,0.928383,-2.324277,,,
4852,13.477778,-0.008182,0.059775,-0.039405,0.997400,-3.736542,0.909520,-2.417263,0.000000,-3.649733,0.898859,-2.540777,0.840422,-3.618507,0.898573,-2.321370,0.838578,-3.580167,0.892379,-2.440623,0.837878,-3.923347,0.929826,-2.462402,0.895468,-3.910952,0.927963,-2.321144,0.743360,-3.649733,0.898859,-2.540777,-3.618507,0.898573,-2.321370,-3.580167,0.892379,-2.440623,-3.923347,0.929826,-2.462402,-3.910952,0.927963,-2.321144,,,
4853,13.480556,-0.008112,0.060283,-0.039570,0.997364,-3.736517,0.909573,-2.414009,0.000000,-3.649837,0.898901,-2.537612,0.881726,-3.618390,0.898570,-2.318236,0.866027,-3.580173,0.892381,-2.437529,0.905273,-3.923361,0.929951,-2.458957,0.923026,-3.910825,0.928061,-2.317712,0.728584,-3.649837,0.898901,-2.537612,-3.618390,0.898570,-2.318236,-3.580173,0.892381,-2.437529,-3.923361,0.929951,-2.458957,-3.910825,0.928061,-2.317712,,,
4854,13.483333,-0.011798,0.060430,-0.036757,0.997426,-3.736517,0.909883,-2.410929,0.000000,-3.649848,0.898872,-2.534510,0.875703,-3.618268,0.900267,-2.315157,0.855817,-3.580085,0.893475,-2.434429,0.875691,-3.923508,0.928814,-2.455897,0.924872,-3.910875,0.927990,-2.314651,0.730520,-3.649848,0.898872,-2.534510,-3.618268,0.900267,-2.315157,-3.580085,0.893475,-2.434429,-3.923508,0.928814,-2.455897,-3.910875,0.927990,-2.314651,,,
4855,13.486111,-0.007739,0.060087,-0.038221,0.997431,-3.736469,0.909674,-2.407760,0.000000,-3.649710,0.899343,-2.531337,0.899267,-3.618351,0.898899,-2.311949,0.848220,-3.580069,0.892918,-2.431232,0.883973,-3.923348,0.929596,-2.452765,0.946407,-3.910863,0.927614,-2.311517,0.761093,-3.649710,0.899343,-2.531337,-3.618351,0.898899,-2.311949,-3.580069,0.892918,-2.431232,-3.923348,0.929596,-2.452765,-3.910863,0.927614,-2.311517,,,
4856,13.488889,-0.009203,0.060460,-0.038059,0.997402,-3.736688,0.909682,-2.404641,0.000000,-3.650032,0.899038,-2.528263,0.887821,-3.618483,0.899240,-2.308901,0.875046,-3.580301,0.892935,-2.428200,0.906949,-3.923616,0.929383,-2.449542,0.927441,-3.911009,0.927812,-2.308300,0.737536,-3.650032,0.899038,-2.528263,-3.618484,0.899240,-2.308901,-3.580301,0.892935,-2.428200,-3.923616,0.929383,-2.449542,-3.911009,0.927812,-2.308300,,,
4857,13.491667,-0.009486,0.059826,-0.038982,0.997402,-3.736548,0.909481,-2.401599,0.000000,-3.649755,0.898592,-2.525104,0.839685,-3.618482,0.898896,-2.305703,0.811711,-3.580161,0.892437,-2.424949,0.860405,-3.923383,0.929485,-2.446751,0.904338,-3.910957,0.927995,-2.305491,0.714028,-3.649754,0.898592,-2.525104,-3.618482,0.898896,-2.305703,-3.580161,0.892437,-2.424949,-3.923383,0.929485,-2.446751,-3.910957,0.927995,-2.305491,,,
4858,13.494444,-0.008741,0.060788,-0.037664,0.997402,-3.736598,0.909813,-2.398473,0.000000,-3.650012,0.899355,-2.522159,0.897269,-3.618326,0.899361,-2.302817,0.868289,-3.580214,0.893203,-2.422146,0.886141,-3.923568,0.929423,-2.443237,0.940086,-3.910872,0.927721,-2.302004,0.725835,-3.650012,0.899355,-2.522159,-3.618326,0.899361,-2.302817,-3.580214,0.893203,-2.422146,-3.923568,0.929423,-2.443237,-3.910872,0.927721,-2.302004,,,
4859,13.497222,-0.009324,0.060595,-0.038341,0.997382,-3.736731,0.909922,-2.395284,0.000000,-3.650115,0.899198,-2.518927,0.888269,-3.618506,0.899440,-2.299574,0.871087,-3.580360,0.893083,-2.418881,0.885479,-3.923661,0.929714,-2.440139,0.954634,-3.911015,0.928174,-2.298899,0.737508,-3.650115,0.899198,-2.518927,-3.618506,0.899440,-2.299574,-3.580360,0.893083,-2.418881,-3.923661,0.929714,-2.440139,-3.911015,0.928174,-2.298899,,,
4860,13.500000,-0.010063,0.060509,-0.039112,0.997350,-3.736690,0.909530,-2.392028,0.000000,-3.650074,0.898485,-2.515643,0.872315,-3.618492,0.899027,-2.296287,0.854555,-3.580340,0.892427,-2.415579,0.878546,-3.923585,0.929522,-2.436937,0.933611,-3.910959,0.928186,-2.295694,0.741254,-3.650074,0.898485,-2.515643,-3.618492,0.899027,-2.296287,-3.580340,0.892427,-2.415579,-3.923585,0.929522,-2.436937,-3.910959,0.928186,-2.295694,,,
4861,13.502778,-0.010880,0.059882,-0.038036,0.997421,-3.736836,0.909913,-2.388927,0.000000,-3.650049,0.898874,-2.512423,0.872315,-3.618726,0.899827,-2.293031,0.854555,-3.580420,0.893128,-2.412268,0.878546,-3.923722,0.929413,-2.434086,0.933611,-3.911260,0.928324,-2.292826,0.741254,-3.650049,0.898874,-2.512423,-3.618726,0.899827,-2.293031,-3.580420,0.893128,-2.412268,-3.923722,0.929413,-2.434086,-3.911260,0.928324,-2.292826,,,
4862,13.505556,-0.007905,0.060511,-0.038599,0.997390,-3.736873,0.910360,-2.385866,0.000000,-3.650228,0.899922,-2.509514,0.879594,-3.618681,0.899530,-2.290153,0.859940,-3.580506,0.893480,-2.409467,0.896725,-3.923776,0.930406,-2.430718,0.941631,-3.911171,0.928463,-2.289480,0.726704,-3.650228,0.899922,-2.509514,-3.618681,0.899530,-2.290153,-3.580506,0.893480,-2.409467,-3.923776,0.930406,-2.430718,-3.911171,0.928463,-2.289480,,,
4863,13.508333,-0.006915,0.059793,-0.038751,0.997434,-3.736970,0.909927,-2.382715,0.000000,-3.650142,0.899688,-2.506251,0.889584,-3.618928,0.898866,-2.286843,0.831694,-3.580574,0.893027,-2.406110,0.886161,-3.923796,0.930134,-2.427812,0.922338,-3.911407,0.927917,-2.286559,0.724086,-3.650142,0.899688,-2.506251,-3.618928,0.898866,-2.286843,-3.580574,0.893027,-2.406110,-3.923796,0.930134,-2.427812,-3.911407,0.927917,-2.286559,,,
4864,13.511111,-0.006591,0.060293,-0.040306,0.997345,-3.737080,0.909726,-2.379656,0.000000,-3.650404,0.899276,-2.503281,0.835117,-3.618982,0.898246,-2.283903,0.860756,-3.580761,0.892345,-2.403210,0.899117,-3.923885,0.930545,-2.424563,0.923180,-3.911367,0.928219,-2.283323,0.707972,-3.650404,0.899276,-2.503281,-3.618982,0.898246,-2.283903,-3.580761,0.892345,-2.403210,-3.923885,0.930545,-2.424563,-3.911367,0.928219,-2.283323,,,
4865,13.513889,-0.008507,0.059592,-0.039150,0.997419,-3.737104,0.910005,-2.376338,0.000000,-3.650248,0.899314,-2.499816,0.861567,-3.619096,0.899184,-2.280398,0.864011,-3.580712,0.892936,-2.399634,0.868643,-3.923905,0.930179,-2.421553,0.922336,-3.911557,0.928413,-2.280290,0.739509,-3.650248,0.899314,-2.499816,-3.619096,0.899184,-2.280398,-3.580712,0.892936,-2.399634,-3.923905,0.930179,-2.421553,-3.911557,0.928413,-2.280290,,,
4866,13.516667,-0.006754,0.059977,-0.038681,0.997427,-3.736957,0.909977,-2.373074,0.000000,-3.650172,0.899791,-2.496645,0.882260,-3.618880,0.898897,-2.277249,0.840415,-3.580568,0.893104,-2.396531,0.900556,-3.923801,0.930178,-2.418098,0.912661,-3.911362,0.927914,-2.276850,0.723985,-3.650172,0.899791,-2.496645,-3.618880,0.898897,-2.277249,-3.580568,0.893104,-2.396531,-3.923801,0.930178,-2.418098,-3.911362,0.927914,-2.276850,,,
4867,13.519444,-0.007606,0.059819,-0.037941,0.997459,-3.736984,0.909822,-2.370201,0.000000,-3.650153,0.899573,-2.493734,0.873646,-3.618913,0.899085,-2.274329,0.848816,-3.580563,0.893158,-2.393592,0.901484,-3.923849,0.929654,-2.415302,0.923693,-3.911441,0.927639,-2.274048,0.746997,-3.650153,0.899573,-2.493734,-3.618913,0.899085,-2.274329,-3.580563,0.893158,-2.393592,-3.923849,0.929654,-2.415302,-3.911441,0.927639,-2.274048,,,
4868,13.522222,-0.007942,0.060253,-0.039962,0.997351,-3.737024,0.909564,-2.366817,0.000000,-3.650342,0.898859,-2.490417,0.909563,-3.618913,0.898438,-2.271038,0.847917,-3.580691,0.892254,-2.390330,0.884939,-3.923848,0.930105,-2.411773,0.915173,-3.911324,0.928164,-2.270528,0.733321,-3.650342,0.898859,-2.490417,-3.618913,0.898438,-2.271038,-3.580691,0.892254,-2.390330,-3.923848,0.930105,-2.411773,-3.911324,0.928164,-2.270528,,,
4869,13.525000,-0.008815,0.059785,-0.038119,0.997444,-3.736967,0.909960,-2.363537,0.000000,-3.650141,0.899391,-2.487046,0.888413,-3.618896,0.899431,-2.267641,0.817677,-3.580550,0.893206,-2.386891,0.877224,-3.923830,0.929721,-2.408682,0.905104,-3.911418,0.928048,-2.267424,0.746201,-3.650141,0.899391,-2.487046,-3.618896,0.899431,-2.267641,-3.580550,0.893206,-2.386891,-3.923830,0.929721,-2.408682,-3.911418,0.928048,-2.267424,,,
4870,13.527778,-0.005775,0.060313,-0.038198,0.997432,-3.736989,0.909781,-2.360855,0.000000,-3.650270,0.899919,-2.484498,0.854937,-3.618846,0.898605,-2.265122,0.875644,-3.580601,0.893087,-2.384439,0.902279,-3.923878,0.929916,-2.405725,0.922918,-3.911352,0.927375,-2.264490,0.779037,-3.650270,0.899919,-2.484498,-3.618846,0.898605,-2.265122,-3.580601,0.893087,-2.384439,-3.923878,0.929916,-2.405725,-3.911352,0.927375,-2.264490,,,
4871,13.530556,-0.008401,0.059906,-0.037254,0.997473,-3.737124,0.910521,-2.357258,0.000000,-3.650308,0.900215,-2.480797,0.897303,-3.619015,0.900100,-2.261399,0.844469,-3.580685,0.894052,-2.380663,0.876503,-3.924030,0.930012,-2.402343,0.927789,-3.911584,0.928227,-2.261089,0.730886,-3.650308,0.900215,-2.480797,-3.619015,0.900100,-2.261399,-3.580685,0.894052,-2.380663,-3.924030,0.930012,-2.402343,-3.911584,0.928227,-2.261089,,,
4872,13.533333,-0.006684,0.060384,-0.037237,0.997458,-3.737158,0.910173,-2.354218,0.000000,-3.650446,0.900279,-2.477864,0.901891,-3.618971,0.899400,-2.258493,0.833480,-3.580741,0.893757,-2.377810,0.888869,-3.924097,0.929853,-2.399081,0.919287,-3.911535,0.927577,-2.257844,0.742442,-3.650446,0.900279,-2.477864,-3.618971,0.899400,-2.258493,-3.580741,0.893757,-2.377810,-3.924097,0.929853,-2.399081,-3.911535,0.927577,-2.257844,,,
